X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
69.3451,30.3753,137,Pakistan,2020/05/23 12:32:43+00,30.3753,69.3451,52437,1101,16653,34683,23.73871459,,,2.099662452,586,PAK
-80.7821,8.538,138,Panama,2020/05/23 12:32:43+00,8.538,-80.7821,10267,295,6275,3697,237.9502212,,,2.873283335,591,PAN
143.95555,-6.314993,139,Papua New Guinea,2020/05/23 12:32:43+00,-6.314993,143.95555,8,0,8,0,0.089415177,,,0,598,PNG
-58.4438,-23.4425,140,Paraguay,2020/05/23 12:32:43+00,-23.4425,-58.4438,838,11,264,563,11.74898668,,,1.312649165,600,PRY
-75.0152,-9.19,141,Peru,2020/05/23 12:32:43+00,-9.19,-75.0152,111698,3244,44848,63606,338.7678081,,,2.9042597,604,PER
121.774017,12.879721,142,Philippines,2020/05/23 12:32:43+00,12.879721,121.774017,13777,863,3177,9737,12.57242525,,,6.264063294,608,PHL
19.1451,51.9194,143,Poland,2020/05/23 12:32:43+00,51.9194,19.1451,20838,990,8977,10871,55.05909975,,,4.75093579,616,POL
-8.2245,39.3999,144,Portugal,2020/05/23 12:32:43+00,39.3999,-8.2245,30471,1302,7705,21464,298.8317699,,,4.272915231,620,PRT
51.1839,25.3548,145,Qatar,2020/05/23 12:32:43+00,25.3548,51.1839,40481,19,7893,32569,1405.073133,,,0.046935599,634,QAT
24.9668,45.9432,146,Romania,2020/05/23 12:32:43+00,45.9432,24.9668,17857,1170,11187,5500,92.82303346,,,6.552052416,642,ROU
29.8739,-1.9403,147,Rwanda,2020/05/23 12:32:43+00,-1.9403,29.8739,321,0,222,99,2.478341725,,,0,646,RWA
-62.782998,17.357822,148,Saint Kitts and Nevis,2020/05/23 12:32:43+00,17.357822,-62.782998,15,0,15,0,28.19972928,,,0,659,KNA
-60.9789,13.9094,149,Saint Lucia,2020/05/23 12:32:43+00,13.9094,-60.9789,18,0,18,0,9.802373263,,,0,662,LCA
-61.2872,12.9843,150,Saint Vincent and the Grenadines,2020/05/23 12:32:43+00,12.9843,-61.2872,18,0,14,4,16.22396279,,,0,670,VCT
12.4578,43.9424,151,San Marino,2020/05/23 12:32:43+00,43.9424,12.4578,665,42,266,357,1959.455478,,,6.315789474,674,SMR
6.613081,0.18636,152,Sao Tome and Principe,2020/05/23 12:32:43+00,0.18636,6.613081,251,8,4,239,114.527676,,,3.187250996,678,STP
45.079162,23.885942,153,Saudi Arabia,2020/05/23 12:32:43+00,23.885942,45.079162,67719,364,39003,28352,194.5173169,,,0.537515321,682,SAU
-14.4524,14.4974,154,Senegal,2020/05/23 12:32:43+00,14.4974,-14.4524,2976,34,1416,1526,17.77360512,,,1.142473118,686,SEN
21.0059,44.0165,155,Serbia,2020/05/23 12:32:43+00,44.0165,21.0059,11024,237,5541,5246,126.1706898,,,2.149854862,688,SRB
55.492,-4.6796,156,Seychelles,2020/05/23 12:32:43+00,-4.6796,55.492,11,0,11,0,11.18568233,,,0,690,SYC
-11.779889,8.460555,157,Sierra Leone,2020/05/23 12:32:43+00,8.460555,-11.779889,606,38,230,338,7.596855203,,,6.270627063,694,SLE
103.8333,1.2833,158,Singapore,2020/05/23 12:32:43+00,1.2833,103.8333,31068,23,12995,18050,531.0457865,,,0.074031157,702,SGP
19.699,48.669,159,Slovakia,2020/05/23 12:32:43+00,48.669,19.699,1504,28,1280,196,27.54758873,,,1.861702128,703,SVK
14.9955,46.1512,160,Slovenia,2020/05/23 12:32:43+00,46.1512,14.9955,1468,106,1340,22,70.61318023,,,7.220708447,705,SVN
46.199616,5.152149,161,Somalia,2020/05/23 12:32:43+00,5.152149,46.199616,1594,61,204,1329,10.02943457,,,3.82685069,706,SOM
22.9375,-30.5595,162,South Africa,2020/05/23 12:32:43+00,-30.5595,22.9375,20125,397,10104,9624,33.93263281,,,1.972670807,710,ZAF
31.307,6.877,163,South Sudan,2020/05/23 12:32:43+00,6.877,31.307,563,6,6,551,5.029601842,,,1.065719361,728,SSD
80.771797,7.873054,164,Sri Lanka,2020/05/23 12:32:43+00,7.873054,80.771797,1085,9,660,416,5.066956207,,,0.829493088,144,LKA
30.2176,12.8628,165,Sudan,2020/05/23 12:32:43+00,12.8628,30.2176,3378,137,372,2869,7.703663201,,,4.055654233,729,SDN
-56.0278,3.9193,166,Suriname,2020/05/23 12:32:43+00,3.9193,-56.0278,11,1,9,1,1.875104409,,,9.090909091,740,SUR
38.996815,34.802075,167,Syria,2020/05/23 12:32:43+00,34.802075,38.996815,70,4,37,29,0.399984983,,,5.714285714,760,SYR
121,23.7,168,Taiwan*,2020/05/23 12:32:43+00,23.7,121,441,7,408,26,1.851636084,,,1.587301587,158,TWN
